epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,103.933,0.39855,0.60057,0.86293,0.9961,1,0.995,0.87118,0.54433,0.54885,0.85608,7.89327e-05,7.89327e-05,7.89327e-05
85,105.117,0.41069,0.58897,0.87118,0.99616,1,0.995,0.88548,0.53609,0.53813,0.85345,7.12282e-05,7.12282e-05,7.12282e-05
86,106.274,0.42638,0.61832,0.85956,0.99607,1,0.995,0.87693,0.52561,0.54488,0.84703,6.39518e-05,6.39518e-05,6.39518e-05
87,107.393,0.5704,0.78789,1.02311,0.99607,1,0.995,0.87693,0.52561,0.54488,0.84703,5.71106e-05,5.71106e-05,5.71106e-05
88,108.6,0.48246,0.83831,0.93619,0.99617,1,0.995,0.87693,0.53265,0.53653,0.85152,5.07115e-05,5.07115e-05,5.07115e-05
89,109.766,0.46884,0.65644,0.90628,0.99615,1,0.995,0.88232,0.5256,0.53572,0.84956,4.47606e-05,4.47606e-05,4.47606e-05
90,111,0.36471,0.58837,0.83739,0.99623,1,0.995,0.88167,0.53251,0.52622,0.85067,3.9264e-05,3.9264e-05,3.9264e-05
91,117.304,0.31271,0.60726,0.83083,0.99623,1,0.995,0.88167,0.53251,0.52622,0.85067,3.4227e-05,3.4227e-05,3.4227e-05
92,118.473,0.39787,0.6841,0.8583,0.99615,1,0.995,0.88165,0.54437,0.53478,0.85379,2.96546e-05,2.96546e-05,2.96546e-05
93,119.637,0.327,0.62953,0.78594,0.99612,1,0.995,0.88125,0.5598,0.52981,0.86219,2.55513e-05,2.55513e-05,2.55513e-05
94,120.932,0.35508,0.66791,0.82471,0.99598,1,0.995,0.89451,0.56788,0.54436,0.8682,2.19212e-05,2.19212e-05,2.19212e-05
95,122.053,0.33476,0.6138,0.80962,0.99598,1,0.995,0.89451,0.56788,0.54436,0.8682,1.87678e-05,1.87678e-05,1.87678e-05
96,123.175,0.33727,0.61991,0.83954,0.99596,1,0.995,0.89205,0.57964,0.56057,0.8773,1.60943e-05,1.60943e-05,1.60943e-05
97,124.238,0.34921,0.6412,0.79653,0.99594,1,0.995,0.89205,0.58002,0.55517,0.87874,1.39032e-05,1.39032e-05,1.39032e-05
98,125.373,0.325,0.63538,0.80134,0.99581,1,0.995,0.89768,0.58516,0.5555,0.88151,1.21968e-05,1.21968e-05,1.21968e-05
99,126.52,0.33238,0.59786,0.84516,0.99581,1,0.995,0.89768,0.58516,0.5555,0.88151,1.09768e-05,1.09768e-05,1.09768e-05
100,127.678,0.3736,0.62115,0.78368,0.99581,1,0.995,0.89202,0.58217,0.55933,0.88194,1.02443e-05,1.02443e-05,1.02443e-05
